"state","stateName","question","questionLabel","citation","sourceUrl","readAt","readAtName","verified","attested","page"
"AL","Alabama","can-a-med-spa-offer-compounded-glp-1","Compounded GLP-1","Ala. Code § 34-23-11(a) (a practitioner’s own compounding is OUTSIDE the Pharmacy Act — but only PERSONALLY, and only for his or her own patient)","https://alison.legislature.state.al.us/graphql?query=query%28%24displayId%3AString%21%29%7BcodesOfAlabama%28where%3A%7Btype%3A%7Beq%3ASection%7D%2CdisplayId%3A%7Beq%3A%24displayId%7D%7D%2Cversions%3Atrue%29%7Bdata%7BdisplayId%20title%20content%7D%7D%7D&variables=%7B%22displayId%22%3A%2234-23-11%22%7D","","","2026-09-07","true","https://medsparadar.com/states/alabama/q/can-a-med-spa-offer-compounded-glp-1"
"AL","Alabama","can-a-medical-assistant-inject","Medical assistants","Ala. Admin. Code r. 610-X-6-.01(5); 610-X-6-.03(6)","https://admincode.legislature.state.al.us/api/chapter/610-X-6","","","2026-09-08","true","https://medsparadar.com/states/alabama/q/can-a-medical-assistant-inject"
"AL","Alabama","can-a-non-physician-own-a-med-spa","Non-physician ownership","Ala. Admin. Code r. 540-X-1 (Board duties — professional corporations)","https://admincode.legislature.state.al.us/api/chapter/540-X-1","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/can-a-non-physician-own-a-med-spa"
"AL","Alabama","can-a-nurse-practitioner-work-without-a-physician","NP independence","Ala. Admin. Code r. 540-X-11-.02(5) (definition of “Level 1 Delegate”)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/can-a-nurse-practitioner-work-without-a-physician"
"AL","Alabama","can-a-physician-assistant-inject-or-prescribe","Physician assistants","Ala. Admin. Code r. 540-X-7-.27(2)–(3) (Prohibited activities and functions — physician assistants)","https://admincode.legislature.state.al.us/api/chapter/540-X-7","","","2026-09-08","true","https://medsparadar.com/states/alabama/q/can-a-physician-assistant-inject-or-prescribe"
"AL","Alabama","can-an-rn-inject-botox-or-filler","RN injecting","Ala. Admin. Code r. 540-X-11-.02(5) (definition of “Level 1 Delegate”)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/can-an-rn-inject-botox-or-filler"
"AL","Alabama","can-the-exam-be-done-by-telehealth","Telehealth exams","Ala. Code § 34-24-703(b)(1), (d)","https://alison.legislature.state.al.us/graphql?query=query%28%24displayId%3AString%21%29%7BcodesOfAlabama%28where%3A%7Btype%3A%7Beq%3ASection%7D%2CdisplayId%3A%7Beq%3A%24displayId%7D%7D%2Cversions%3Atrue%29%7Bdata%7BdisplayId%20title%20content%7D%7D%7D&variables=%7B%22displayId%22%3A%2234-24-703%22%7D","","","2026-09-08","true","https://medsparadar.com/states/alabama/q/can-the-exam-be-done-by-telehealth"
"AL","Alabama","can-the-state-shut-down-an-unlicensed-med-spa","Shutdown powers","Ala. Admin. Code r. 540-X-1 (Board duties — temporary suspension)","https://admincode.legislature.state.al.us/api/chapter/540-X-1","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/can-the-state-shut-down-an-unlicensed-med-spa"
"AL","Alabama","does-a-med-spa-need-to-register","Registration & licensing","Ala. Admin. Code r. 250-X-2-.01 (what it costs to open — the Board’s own fee schedule, in dollars)","https://admincode.legislature.state.al.us/api/chapter/250-X-2","","","2026-09-06","true","https://medsparadar.com/states/alabama/q/does-a-med-spa-need-to-register"
"AL","Alabama","is-a-medical-director-required","Medical director required?","Ala. Admin. Code r. 540-X-11-.06(1) (Initial training requirements for physicians and delegates)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/is-a-medical-director-required"
"AL","Alabama","is-an-exam-required-before-treatment","Exam before treatment","Ala. Admin. Code r. 540-X-11-.05(3) (Written protocols — patient selection)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/is-an-exam-required-before-treatment"
"AL","Alabama","may-an-esthetician-perform-microneedling","Esthetician microneedling","Ala. Admin. Code r. 540-X-11-.02(6) (definition of “Level 2 Delegate”)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/may-an-esthetician-perform-microneedling"
"AL","Alabama","must-someone-be-on-site-during-treatment","On-site presence","Ala. Admin. Code r. 540-X-11-.04(2)(f)-(g) (Delegation and supervision)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/must-someone-be-on-site-during-treatment"
"AL","Alabama","what-business-structure-is-required","Structure limits","Ala. Admin. Code r. 540-X-1 (Board duties — professional corporations)","https://admincode.legislature.state.al.us/api/chapter/540-X-1","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/what-business-structure-is-required"
"AL","Alabama","what-can-a-med-spa-advertise","Advertising limits","Ala. Admin. Code r. 250-X (Board of Cosmetology and Barbering — grounds for board action)","https://www.aboc.alabama.gov/sites/default/files/2026-06/Rules%20and%20Regs%20Document%205.15.2026.pdf","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/what-can-a-med-spa-advertise"
"AL","Alabama","what-can-a-practitioner-be-disciplined-for","Grounds for discipline","Ala. Admin. Code r. 540-X-7-.12 (Discipline of license — physician assistant — grounds)","https://admincode.legislature.state.al.us/api/chapter/540-X-7","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/what-can-a-practitioner-be-disciplined-for"
"AL","Alabama","what-does-it-cost-to-open","License fees","Ala. Admin. Code r. 250-X-2-.01 (what it costs to open — the Board’s own fee schedule, in dollars)","https://admincode.legislature.state.al.us/api/chapter/250-X-2","","","2026-09-06","true","https://medsparadar.com/states/alabama/q/what-does-it-cost-to-open"
"AL","Alabama","what-happens-if-you-practice-without-a-license","Unlicensed practice","Ala. Code § 34-24-51","https://alison.legislature.state.al.us/graphql?query=query%28%24displayId%3AString%21%29%7BcodesOfAlabama%28where%3A%7Btype%3A%7Beq%3ASection%7D%2CdisplayId%3A%7Beq%3A%24displayId%7D%7D%2Cversions%3Atrue%29%7Bdata%7BdisplayId%20title%20content%7D%7D%7D&variables=%7B%22displayId%22%3A%2234-24-51%22%7D","","","2026-09-08","true","https://medsparadar.com/states/alabama/q/what-happens-if-you-practice-without-a-license"
"AL","Alabama","what-must-be-reported-to-the-board","Reporting duties","Ala. Admin. Code r. 540-X-11-.13(1)-(3) (Registration of physicians using lasers)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/what-must-be-reported-to-the-board"
"AL","Alabama","what-must-the-supervising-physician-do","Supervising physician duties","Ala. Admin. Code r. 540-X-11-.05 (Written protocols)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/what-must-the-supervising-physician-do"
"AL","Alabama","who-enforces-deceptive-med-spa-marketing","Marketing enforcement","Ala. Code § 8-19-8(a)","https://alison.legislature.state.al.us/graphql?query=query%28%24displayId%3AString%21%29%7BcodesOfAlabama%28where%3A%7Btype%3A%7Beq%3ASection%7D%2CdisplayId%3A%7Beq%3A%24displayId%7D%7D%2Cversions%3Atrue%29%7Bdata%7BdisplayId%20title%20content%7D%7D%7D&variables=%7B%22displayId%22%3A%228-19-8%22%7D","","","2026-09-08","true","https://medsparadar.com/states/alabama/q/who-enforces-deceptive-med-spa-marketing"
"AL","Alabama","who-may-operate-a-cosmetic-laser","Laser & energy devices","Ala. Admin. Code r. 540-X-11-.01(1) (Purpose)","https://admincode.legislature.state.al.us/api/chapter/540-X-11","","","2026-09-04","true","https://medsparadar.com/states/alabama/q/who-may-operate-a-cosmetic-laser"
"AK","Alaska","can-a-med-spa-offer-compounded-glp-1","Compounded GLP-1","AS 08.80.480(4) (definition of “compounding” — and what it does NOT reach)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.80.480&secEnd=08.80.480","","","2026-09-06","true","https://medsparadar.com/states/alaska/q/can-a-med-spa-offer-compounded-glp-1"
"AK","Alaska","can-a-medical-assistant-inject","Medical assistants","AS 08.68.805 (Delegation of nursing functions)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.68.805&secEnd=08.68.805","","","2026-09-08","true","https://medsparadar.com/states/alaska/q/can-a-medical-assistant-inject"
"AK","Alaska","can-a-non-clinical-owner-take-a-percentage","Fees to a non-clinical owner","AS 08.64 (surveyed), AS 08.68 (surveyed), AS 08.13 (surveyed), AS 08.01 (surveyed); 12 AAC 40, 12 AAC 02 and 12 AAC 09 (surveyed)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.010&secEnd=08.64.380","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/can-a-non-clinical-owner-take-a-percentage"
"AK","Alaska","can-a-non-physician-own-a-med-spa","Non-physician ownership","AS 08.64 (surveyed), AS 08.68 (surveyed), AS 08.13 (surveyed), AS 08.01 (surveyed); 12 AAC 40, 12 AAC 02 and 12 AAC 09 (surveyed)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.010&secEnd=08.64.380","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/can-a-non-physician-own-a-med-spa"
"AK","Alaska","can-a-nurse-practitioner-work-without-a-physician","NP independence","12 AAC 44.410, 44.430, 44.435, 44.440 (APRN article — collaboration rule repealed; scope and prescriptive authority)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.44.400&secEnd=12.44.480","","","2026-09-08","true","https://medsparadar.com/states/alaska/q/can-a-nurse-practitioner-work-without-a-physician"
"AK","Alaska","can-a-physician-assistant-inject-or-prescribe","Physician assistants","12 AAC 40.410(a) (A physician assistant may not practice without a collaborative relationship)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.40.410&secEnd=12.40.410","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/can-a-physician-assistant-inject-or-prescribe"
"AK","Alaska","can-an-rn-inject-botox-or-filler","RN injecting","AS 08.68.805 (Delegation of nursing functions)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.68.805&secEnd=08.68.805","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/can-an-rn-inject-botox-or-filler"
"AK","Alaska","can-the-exam-be-done-by-telehealth","Telehealth exams","AS 08.64.364(a) (Prescription of drugs without physical examination)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.364&secEnd=08.64.364","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/can-the-exam-be-done-by-telehealth"
"AK","Alaska","can-the-state-shut-down-an-unlicensed-med-spa","Shutdown powers","AS 08.64.331(a), (c) (Disciplinary sanctions)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.331&secEnd=08.64.331","","","2026-09-08","true","https://medsparadar.com/states/alaska/q/can-the-state-shut-down-an-unlicensed-med-spa"
"AK","Alaska","does-a-med-spa-need-to-register","Registration & licensing","AS 08.80.480(4) (definition of “compounding” — and what it does NOT reach)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.80.480&secEnd=08.80.480","","","2026-09-06","true","https://medsparadar.com/states/alaska/q/does-a-med-spa-need-to-register"
"AK","Alaska","is-a-medical-director-required","Medical director required?","12 AAC 40.920(a)(1)-(3) (Standards for delegation of routine duties)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.40.920&secEnd=12.40.920","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/is-a-medical-director-required"
"AK","Alaska","is-an-exam-required-before-treatment","Exam before treatment","AS 08.64.364(a) (Prescription of drugs without physical examination)","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=08.64.364&secEnd=08.64.364","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/is-an-exam-required-before-treatment"
"AK","Alaska","may-an-esthetician-perform-microneedling","Esthetician microneedling","12 AAC 09.990(b)(1)(A)-(C) (Definitions — “appliances” in the field of esthetics)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.09.010&secEnd=12.09.990","","","2026-09-07","true","https://medsparadar.com/states/alaska/q/may-an-esthetician-perform-microneedling"
"AK","Alaska","must-someone-be-on-site-during-treatment","On-site presence","12 AAC 40.920(b) (Availability for consultation)","https://www.akleg.gov/basis/aac.asp?media=print&secStart=12.40.920&secEnd=12.40.920","","","2026-09-05","true","https://medsparadar.com/states/alaska/q/must-someone-be-on-site-during-treatment"
"AK","Alaska","what-business-structure-is-required","Structure limits","AS 10.45.010","https://www.akleg.gov/basis/statutes.asp?media=print&secStart=10.45.010&secEnd=10.45.010","","","2026-09-08","true","https://medsparadar.com/states/alaska/q/what-business-structure-is-required"
